,Title,Release Year,Locations,Director,Actor 1
1342,"Murder in the First, Season 3",2016,2633 Vallejo Street,Steven Bochcho,Taye Diggs
1343,Chance- Season 1 ep104,2016,Bush and Sansome St.,Carl Franklin,Hugh Laurie
1344,Chance - Season 1 ep105,2016,"The Drew School, 2901 California",Victoria Morrow,Hugh Laurie
1345,"Looking ""Special""",2016,Fisherman's Wharf,Andrew Haigh,Jonathan Groff
1346,"Looking ""Special""",2016,3079 16th Street,Andrew Haigh,Jonathan Groff
1347,Chance- Season 1 ep107,2016,145 Barlett St.,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1348,"Murder in the First, Season 3",2016,Patricia's Green,Steven Bochcho,Taye Diggs
1349,Chance- Season 1 ep109,2016,Ocean Park Motel,Sara Gran and Pete Begler,Hugh Laurie
1350,Sense8 - Season 2,2016,"San Francisco City Hall, 1 Dr. Carlton B. Goodlett Pl.",Wachowski Siblings,Jamie Clayton
1351,Chance- Season 1 ep102,2016,Mason and Pacific,Lenny Abrahamson,Hugh Laurie
1352,"Murder in the First, Season 3",2016,Linden Alley between Octavia and Gough Streets,Steven Bochcho,Taye Diggs
1353,"Looking ""Special""",2016,"The End Up, 401 6th Streeet",Andrew Haigh,Jonathan Groff
1354,Sense8 - Season 2,2016,"Westerfeld House, 1198 Fulton St.",Wachowski Siblings,Jamie Clayton
1355,Pushing Dead,2016,"915 Naples, San Francisco",Tom Brown,Danny Glover
1356,Chance- Season 1 ep107,2016,Buena Vista betweeen Upper Terrace and Java St.,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1357,Chance- Season 1 ep104,2016,"Bayview Police Station, 201 Williams Ave.",Carl Franklin,Hugh Laurie
1358,Sense8 - Season 2,2016,Washington between Stockton and Kearny,Wachowski Siblings,Jamie Clayton
1359,Pushing Dead,2016,Octavia at Grove Street,Tom Brown,Danny Glover
1360,"Murder in the First, Season 3",2016,Howard Street at Steuart Street,Steven Bochcho,Taye Diggs
1361,"Murder in the First, Season 3",2016,500 Grove Street,Steven Bochcho,Taye Diggs
1362,"Looking ""Special""",2016,1246 Folsom Street,Andrew Haigh,Jonathan Groff
1363,Chance - Season 1 Pilot,2016,1055 Montgomery St.,Lenny Abrahamson,Hugh Laurie
1364,Pushing Dead,2016,Koshland Park,Tom Brown,Danny Glover
1365,Chance- Season 1 ep104,2016,15th St. between Vermont and Kansas,Carl Franklin,Hugh Laurie
1366,Sense8 - Season 2,2016,"The Castro Theater, 429 Castro St.",Wachowski Siblings,Jamie Clayton
1367,Chance- Season 1 ep106,2016,McAllister between Leavenworth and Hyde,Sara Gran,Hugh Laurie
1368,Sense8 - Season 2,2016,Grant between Sacramento and Jack Kerouac Alley,Wachowski Siblings,Jamie Clayton
1369,Pushing Dead,2016,"Cordova Market, 301 Rolph Street, San Francisco",Tom Brown,Danny Glover
1370,"Looking ""Special""",2016,Point Lobos Avenue,Andrew Haigh,Jonathan Groff
1371,Chance- Season 1 ep103,2016,San Bruno and Alameda,Michael Lehmann,Hugh Laurie
1372,Chance - Season 1 Pilot,2016,"State Garage, 818 Leavenworth",Lenny Abrahamson,Hugh Laurie
1373,Birth of the Dragon,2016,Leavenworth at Union,George Nolfi,Philip Ng
1374,Chance- Season 1 ep106,2016,Montgomery between Pacific and Broadway,Sara Gran,Hugh Laurie
1375,Chance - Season 1 Pilot,2016,Ellis and Jones St.,Lenny Abrahamson,Hugh Laurie
1376,Chance - Season 1 Pilot,2016,"Harvey Milk Rec Center, 50 Scott St.",Lenny Abrahamson,Hugh Laurie
1377,Chance- Season 1 ep106,2016,Treasure Island,Sara Gran,Hugh Laurie
1378,"Looking ""Special""",2016,"The Stud, 399 9th Street",Andrew Haigh,Jonathan Groff
1379,"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street",Andrew Haigh,Jonathan Groff
1380,"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue",Andrew Haigh,Jonathan Groff
1381,Pushing Dead,2016,"Daniel's Pharmacy, 943 Geneva Ave",Tom Brown,Danny Glover
1382,Sense8 - Season 2,2016,Spofford between Washington and Clay,Wachowski Siblings,Jamie Clayton
1383,Pushing Dead,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street",Tom Brown,Danny Glover
1384,Chance- Season 1 ep110,2016,San Francisco General Hospital,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1385,Sense8 - Season 2,2016,Castle between Union and Green,Wachowski Siblings,Jamie Clayton
1386,Chance- Season 1 ep107,2016,"Punjab Café, 838 24th St.",Alexandra Cunningham and Kem Nunn,Hugh Laurie
1387,Chance- Season 1 ep103,2016,"Blue Danube Café, 306 Clement",Michael Lehmann,Hugh Laurie
1388,Chance- Season 1 ep103,2016,17th and Arkansas,Michael Lehmann,Hugh Laurie
1389,Chance- Season 1 ep108,2016,1000 Mason St.,Peter Elkoff and Victoria Morrow,Hugh Laurie
1390,Chance - Season 1 Pilot,2016,Jefferson Square Park,Lenny Abrahamson,Hugh Laurie
1391,Birth of the Dragon,2016,Lands End Trail at Eagles Point/ Lincoln Park Golf Course,George Nolfi,Philip Ng
1392,Chance - Season 1 Pilot,2016,"Jonell's Bar, 401 Ellis",Lenny Abrahamson,Hugh Laurie
1393,"Looking ""Special""",2016,10th Street between Market & Mission,Andrew Haigh,Jonathan Groff
1394,Chance - Season 1 Pilot,2016,"Mario's Café, 566 Columbus",Lenny Abrahamson,Hugh Laurie
1395,Sense8 - Season 2,2016,Mission Creek Harbor along Channel St.,Wachowski Siblings,Jamie Clayton
1396,Birth of the Dragon,2016,Twin Peaks Blvd.,George Nolfi,Philip Ng
1397,Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut",Michael Lehmann,Hugh Laurie
1398,"Murder in the First, Season 3",2016,Hall of Justice (850 Bryant Street),Steven Bochcho,Taye Diggs
1399,Chance- Season 1 ep110,2016,Ocean Park Motel,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1400,Chance - Season 1 Pilot,2016,253 4th Ave.,Lenny Abrahamson,Hugh Laurie
1401,Chance - Season 1 ep105,2016,Maiden Lane between Kearny and Grant,Victoria Morrow,Hugh Laurie
1402,Chance- Season 1 ep103,2016,878-898 Chestnut St.,Michael Lehmann,Hugh Laurie
1403,Sense8 - Season 2,2016,"Marina Morrison Bridal, 30 Maiden Ln.",Wachowski Siblings,Jamie Clayton
1404,Chance- Season 1 ep102,2016,"State Garage, 818 Leavenworth",Lenny Abrahamson,Hugh Laurie
1405,Chance- Season 1 ep102,2016,"Betelnut restaurant, 2030 Union St.",Lenny Abrahamson,Hugh Laurie
1406,Pushing Dead,2016,"433 Baker Street,",Tom Brown,Danny Glover
1407,Chance- Season 1 ep107,2016,60 Potomac,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1408,Sense8 - Season 2,2016,"Grace Cathedral, 1100 California St.",Wachowski Siblings,Jamie Clayton
1409,Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",Carl Franklin,Hugh Laurie
1410,Pushing Dead,2016,1069 Tennessee Street,Tom Brown,Danny Glover
1411,Chance- Season 1 ep104,2016,Miraloma Mall at Portola Frontage Road,Carl Franklin,Hugh Laurie
1412,Chance- Season 1 ep107,2016,1461 Page St.,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1413,Chance- Season 1 ep107,2016,157 Commonwealth,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1414,Chance- Season 1 ep104,2016,Palace of Fine Arts,Carl Franklin,Hugh Laurie
1415,"Looking ""Special""",2016,San Francisco City Hall,Andrew Haigh,Jonathan Groff
1416,Chance- Season 1 ep109,2016,60 Leavenworth St.,Sara Gran and Pete Begler,Hugh Laurie
1417,Sense8 - Season 2,2016,Montgomery between Green and Broadway,Wachowski Siblings,Jamie Clayton
1418,Chance- Season 1 ep102,2016,Westin St. Francis,Lenny Abrahamson,Hugh Laurie
1419,Chance- Season 1 ep102,2016,"YWCA, 940 Powell",Lenny Abrahamson,Hugh Laurie
1420,Chance- Season 1 ep102,2016,"Warren's Antiques, 375 9th St.",Lenny Abrahamson,Hugh Laurie
1421,Chance- Season 1 ep110,2016,1 Urbano,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1422,Chance - Season 1 ep105,2016,"State Garage, 818 Leavenworth",Victoria Morrow,Hugh Laurie
1423,Chance- Season 1 ep106,2016,60 Leavenworth St.,Sara Gran,Hugh Laurie
1424,"Murder in the First, Season 3",2016,Civic Center Plaza,Steven Bochcho,Taye Diggs
1425,"Murder in the First, Season 3",2016,Ivy Street between Laguna and Gough Streets,Steven Bochcho,Taye Diggs
1426,Chance- Season 1 ep106,2016,Washington Square Park,Sara Gran,Hugh Laurie
1427,"Looking ""Special""",2016,"Orphan Andy's, 3991 17th Street",Andrew Haigh,Jonathan Groff
1428,Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street",Tom Brown,Danny Glover
1429,Chance- Season 1 ep108,2016,St. Mary's Square Park,Peter Elkoff and Victoria Morrow,Hugh Laurie
1430,"Looking ""Special""",2016,17th & Market Street,Andrew Haigh,Jonathan Groff
1431,Birth of the Dragon,2016,Hyde at Union,George Nolfi,Philip Ng
1432,Chance- Season 1 ep109,2016,"Cliffhouse, 1090 Point Lobos Ave.",Sara Gran and Pete Begler,Hugh Laurie
1433,Chance- Season 1 ep109,2016,2 Rowland,Sara Gran and Pete Begler,Hugh Laurie
1434,Chance- Season 1 ep108,2016,Huntington Park,Peter Elkoff and Victoria Morrow,Hugh Laurie
1435,Birth of the Dragon,2016,Pier 45 - Jeremiah O'Brien Liberty Ship,George Nolfi,Philip Ng
1436,"Looking ""Special""",2016,Castro Street between 17th & 18th,Andrew Haigh,Jonathan Groff
1437,Pushing Dead,2016,"Double Happiness Health, 3380 20th Street",Tom Brown,Danny Glover
1438,"Looking ""Special""",2016,1080 Natoma Street,Andrew Haigh,Jonathan Groff
1439,Chance- Season 1 ep102,2016,Heron and Berwick Alleys,Lenny Abrahamson,Hugh Laurie
1440,Chance Season 2,2017,Steiner St between Jackson and Clay St,Rozann Dawson,Hugh Laurie
1441,"Budding Prospects, Pilot",2017,951 Hudson Avenue,Terry Zwigoff,Adam Rose
1442,When We Rise,2017,520 Castro St.,Gus Van Sant,Guy Pierce
1443,Ballers Season 3,2017,San Remo Hotel (2237 Mason),Julian Farino,Dwayne Johnson
1444,Ballers Season 3,2017,Embarcadero around Rincon Park,Julian Farino,Dwayne Johnson
1445,GirlBoss,2017,"Mission Thrift, 2330 Mission St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1446,When We Rise,2017,Powell St. at Market St.,Gus Van Sant,Guy Pierce
1447,Ballers Season 3,2017,"Huntington Park (California & Taylor Streets, Nob Hill)",Julian Farino,Dwayne Johnson
1448,Chance Season 2,2017,Filbert St at Stockton St,Rozann Dawson,Hugh Laurie
1449,GirlBoss,2017,"Mission Dolores Park, 19th St. & Dolores St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1450,"Budding Prospects, Pilot",2017,1125 Guerrero Street,Terry Zwigoff,Adam Rose
1451,Chance Season 2,2017,Presidio Heights Neighborhood,Rozann Dawson,Hugh Laurie
1452,Chance Season 2,2017,Embarcadero at Vallejo St.,Rozann Dawson,Hugh Laurie
1453,GirlBoss,2017,Fillmore between Haight and Waller,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1454,GirlBoss,2017,Mission between 19th and 25th St.,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1455,GirlBoss,2017,Taylor and Union,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1456,When We Rise,2017,426 Castro St.,Gus Van Sant,Guy Pierce
1457,When We Rise,2017,Castro St. between 17th and 18th St.,Gus Van Sant,Guy Pierce
1458,Ballers Season 3,2017,Driving around Taylor/Pacific/Leavenworth,Julian Farino,Dwayne Johnson
1459,When We Rise,2017,"Castro Theatre, 429 Castro St.",Gus Van Sant,Guy Pierce
1460,Etruscan Smile,2017,"Mudpie, 2185 Fillmore Street",Oded Binnun/ Michel Brezis,Brian Cox
1461,"Budding Prospects, Pilot",2017,1167 Alabama Street,Terry Zwigoff,Adam Rose
1462,Chance Season 2,2017,Sacramento between Mason and Taylor St,Rozann Dawson,Hugh Laurie
1463,Chance Season 2,2017,Haight between Central and Ashbury St,Rozann Dawson,Hugh Laurie
1464,When We Rise,2017,Bay Bridge,Gus Van Sant,Guy Pierce
1465,Chance Season 2,2017,Duboce between Buena Vista East and Alpine St,Rozann Dawson,Hugh Laurie
1466,Chance Season 2,2017,Scott St between Jackson and Clay St,Rozann Dawson,Hugh Laurie
1467,GirlBoss,2017,1375 Haight St.,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1468,GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1469,Chance Season 2,2017,Union St at Leavenworth St,Rozann Dawson,Hugh Laurie
1470,When We Rise,2017,24th St. between Florida and Alabama,Gus Van Sant,Guy Pierce
1471,GirlBoss,2017,Various Haight St. Vintage Shops,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1472,Etruscan Smile,2017,San Francisco City Hall,Oded Binnun/ Michel Brezis,Brian Cox
1473,GirlBoss,2017,"La Taqueria, 2889 Mission St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1474,When We Rise,2017,Buena Vista Park,Gus Van Sant,Guy Pierce
1475,Chance Season 2,2017,Coit Tower,Rozann Dawson,Hugh Laurie
1476,Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd.",Oded Binnun/ Michel Brezis,Brian Cox
1477,Etruscan Smile,2017,California Street between Front and Davis,Oded Binnun/ Michel Brezis,Brian Cox
1478,"Budding Prospects, Pilot",2017,2937 24th Street,Terry Zwigoff,Adam Rose
1479,Etruscan Smile,2017,UCSF Mt Zion 1600 Divisadero,Oded Binnun/ Michel Brezis,Brian Cox
1480,GirlBoss,2017,"Boulevard Restaurant, 1 Mission St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1481,Etruscan Smile,2017,Treasure Island,Oded Binnun/ Michel Brezis,Brian Cox
1482,GirlBoss,2017,"The Castro Theater, 429 Castro St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1483,GirlBoss,2017,"Macchiarini Steps, Kearny between Vallejo and Broadway","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1484,GirlBoss,2017,"Clayton Post Office, 554 Clayton St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1485,Etruscan Smile,2017,Castle Street @ Green Street,Oded Binnun/ Michel Brezis,Brian Cox
1486,Etruscan Smile,2017,California Street between Sansome & Davis,Oded Binnun/ Michel Brezis,Brian Cox
1487,Chance Season 2,2017,Embarcadero between Bay and Chestnut St,Rozann Dawson,Hugh Laurie
1488,When We Rise,2017,"Twin Peaks Bar, 401 Castro",Gus Van Sant,Guy Pierce
1489,"Budding Prospects, Pilot",2017,500 Cortland Avenue,Terry Zwigoff,Adam Rose
1490,Etruscan Smile,2017,Chaya / Perry's 132 Embarcadero,Oded Binnun/ Michel Brezis,Brian Cox
1491,Etruscan Smile,2017,"Andronico's, 1200 Irving Street",Oded Binnun/ Michel Brezis,Brian Cox
1492,GirlBoss,2017,Clarion Alley between Valencia and Mission,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1493,GirlBoss,2017,Filbert and Kearny Steps,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1494,Etruscan Smile,2017,"Legion of Honor, 100 34th Ave",Oded Binnun/ Michel Brezis,Brian Cox
1495,When We Rise,2017,City Hall,Gus Van Sant,Guy Pierce
1496,Chance Season 2,2017,Columbus between Filbert and Lombard St,Rozann Dawson,Hugh Laurie
1497,Etruscan Smile,2017,343 Union Street,Oded Binnun/ Michel Brezis,Brian Cox
1498,Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street",Oded Binnun/ Michel Brezis,Brian Cox
1499,Chance Season 2,2017,Embarcadero between Harrison and Folsom St,Rozann Dawson,Hugh Laurie
1500,Etruscan Smile,2017,"Outpost Studios, 69 Green Street",Oded Binnun/ Michel Brezis,Brian Cox
1501,"Budding Prospects, Pilot",2017,2007 Franklin Street,Terry Zwigoff,Adam Rose
1502,Etruscan Smile,2017,Mason Street @ Vallejo,Oded Binnun/ Michel Brezis,Brian Cox
1503,Ballers Season 3,2017,California and Jones St.,Julian Farino,Dwayne Johnson
1504,Etruscan Smile,2017,"St Regis Hotel, 125 3rd Street",Oded Binnun/ Michel Brezis,Brian Cox
1505,Chance Season 2,2017,Central St between Haight and Page St,Rozann Dawson,Hugh Laurie
1506,Chance Season 2,2017,Haight St at Ashbury St,Rozann Dawson,Hugh Laurie
1507,Chance Season 2,2017,Marina Blvd between Baker and Fillmore St,Rozann Dawson,Hugh Laurie
1508,Chance Season 2,2017,Embarcadero between Market to Fillmore St,Rozann Dawson,Hugh Laurie
1509,Chance Season 2,2017,Lombard St between Leavenworth and Hyde St,Rozann Dawson,Hugh Laurie
1510,When We Rise,2017,440 Castro St.,Gus Van Sant,Guy Pierce
1511,Chance Season 2,2017,Jefferson St at Taylor St,Rozann Dawson,Hugh Laurie
1512,When We Rise,2017,"Eureka Arts Center, 4400 20th St.",Gus Van Sant,Guy Pierce
1513,Chance Season 2,2017,Leavenworth at McAllister St,Rozann Dawson,Hugh Laurie
1514,Etruscan Smile,2017,San Francisco Airport,Oded Binnun/ Michel Brezis,Brian Cox
1515,"Budding Prospects, Pilot",2017,3033 24th Street,Terry Zwigoff,Adam Rose
1516,"Budding Prospects, Pilot",2017,40 Prentiss Street,Terry Zwigoff,Adam Rose
1517,Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,Oded Binnun/ Michel Brezis,Brian Cox
1518,Ballers Season 3,2017,"Fairmont Hotel (950 Mason Street, Nob Hill)",Julian Farino,Dwayne Johnson
1519,Etruscan Smile,2017,Pier 14 San Francisco,Oded Binnun/ Michel Brezis,Brian Cox
1520,When We Rise,2017,United Nations Plaza,Gus Van Sant,Guy Pierce
1521,Chance Season 2,2017,Embarcadero at Lombard St.,Rozann Dawson,Hugh Laurie
1522,Etruscan Smile,2017,225 California Street,Oded Binnun/ Michel Brezis,Brian Cox
1523,Silicon Valley Season 4,2017,Moscone Center Parking Garage/3rd St.,Mike Judge,Thomas Middleditch
1524,Chance Season 2,2017,California between Mason and Taylor St,Rozann Dawson,Hugh Laurie
1525,"Budding Prospects, Pilot",2017,Gough Street & Clay Street,Terry Zwigoff,Adam Rose
1526,Chance Season 2,2017,Market St at Embarcadero,Rozann Dawson,Hugh Laurie
1527,GirlBoss,2017,"Underground SF, 424 Haight St.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1528,Chance Season 2,2017,20th St between Church and Dolores St,Rozann Dawson,Hugh Laurie
1529,Chance Season 2,2017,Palace of Fine Arts (3301 Lyon Street),Rozann Dawson,Hugh Laurie
1530,When We Rise,2017,Haight St. at Central,Gus Van Sant,Guy Pierce
1531,Chance Season 2,2017,Waller St between Masonic and Del Mar St,Rozann Dawson,Hugh Laurie
1532,Ballers Season 3,2017,"Another Café, 1191 Pine St at Leavenworth",Julian Farino,Dwayne Johnson
1533,GirlBoss,2017,Filbert between Leavenworth and Hyde,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1534,Etruscan Smile,2017,Turk Street between Mason & Leavenworth,Oded Binnun/ Michel Brezis,Brian Cox
1535,Etruscan Smile,2017,Pier 39 San Francisco,Oded Binnun/ Michel Brezis,Brian Cox
1536,"Budding Prospects, Pilot",2017,Lucky Street,Terry Zwigoff,Adam Rose
1537,GirlBoss,2017,Fillmore and Waller,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1538,Etruscan Smile,2017,3rd Street between Market & Harrison,Oded Binnun/ Michel Brezis,Brian Cox
1539,Silicon Valley Season 4,2017,Howard St between 3rd and 4th St.,Mike Judge,Thomas Middleditch
1540,Chance Season 2,2017,Heron @ Berwick (off 8th and Harrison St),Rozann Dawson,Hugh Laurie
1541,"Budding Prospects, Pilot",2017,1641 York Street,Terry Zwigoff,Adam Rose
1542,Etruscan Smile,2017,"Marriott Marquis, 780 Mission Street",Oded Binnun/ Michel Brezis,Brian Cox
1543,GirlBoss,2017,Green and Divisadero,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1544,Etruscan Smile,2017,1227 Montgomery Street,Oded Binnun/ Michel Brezis,Brian Cox
1545,When We Rise,2017,"Harvey Milk Plaza, 17th and Castro",Gus Van Sant,Guy Pierce
1546,Chance Season 2,2017,Mason between Sacramento and California St,Rozann Dawson,Hugh Laurie
1547,Etruscan Smile,2017,Broadway @ Jones Streets,Oded Binnun/ Michel Brezis,Brian Cox
1548,Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street",Oded Binnun/ Michel Brezis,Brian Cox
1549,Chance Season 2,2017,"Taylor St, north of Jefferson St to end",Rozann Dawson,Hugh Laurie
1550,GirlBoss,2017,Filbert between Grant and Kearny,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1551,Etruscan Smile,2017,Jones @ Broadway,Oded Binnun/ Michel Brezis,Brian Cox
1552,Chance Season 2,2017,Lombard St between Hyde and Larkin St,Rozann Dawson,Hugh Laurie
1553,When We Rise,2017,"Women's Building, 3543 18th St.",Gus Van Sant,Guy Pierce
1554,"Budding Prospects, Pilot",2017,3050 24th Street,Terry Zwigoff,Adam Rose
1555,"Budding Prospects, Pilot",2017,Bernal Heights Boulevard,Terry Zwigoff,Adam Rose
1556,GirlBoss,2017,Grant between California and Washington,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson
1557,Ant-Man and the Wasp,2018,Russian Hill,Peyton Reed,Paul Rudd
1558,A Taiwanese Tale of Two Cities,2018,San Francisco City Hall,Tien-Lun Yeh,Tammy Cheng
1559,Venom,2018,Edinburgh Castle (950 Geary Street),Ruben Fleischer,Tom Hardy
1560,Bitter Melon,2018,3139 16th St,H.P. Mendoza,Jon Norman Schneider
1561,Venom,2018,California St at Montgomery St,Ruben Fleischer,Tom Hardy
1562,Venom,2018,Hemlock Alley btwn Polk and Larkin,Ruben Fleischer,Tom Hardy
1563,A Taiwanese Tale of Two Cities,2018,Pier 5,Tien-Lun Yeh,Tammy Cheng
1564,A Taiwanese Tale of Two Cities,2018,700 Block of Grant Ave.,Tien-Lun Yeh,Tammy Cheng
1565,Ant-Man and the Wasp,2018,Pier 27,Peyton Reed,Paul Rudd
1566,A Taiwanese Tale of Two Cities,2018,Bernal Heights Park,Tien-Lun Yeh,Tammy Cheng
1567,Ant-Man and the Wasp,2018,Geary St - Hyde St - Ellis St,Peyton Reed,Paul Rudd
1568,Ant-Man and the Wasp,2018,Laguna St btwn Jackson and Broadway,Peyton Reed,Paul Rudd
1569,Bitter Melon,2018,145 9th St,H.P. Mendoza,Jon Norman Schneider
1570,Venom,2018,Embarcadero btwn Folsom and Bryant,Ruben Fleischer,Tom Hardy
1571,Ant-Man and the Wasp,2018,Jones St btwn Green and Pacific,Peyton Reed,Paul Rudd
1572,Venom,2018,Stockton Tunnel btwn Sutter and Sacramento,Ruben Fleischer,Tom Hardy
1573,Ant-Man and the Wasp,2018,Leavenworth St at Lombard St,Peyton Reed,Paul Rudd
1574,Ant-Man and the Wasp,2018,Jefferson St at Taylor St,Peyton Reed,Paul Rudd
1575,Ant-Man and the Wasp,2018,Missouri St at 18th St,Peyton Reed,Paul Rudd
1576,Beautiful Boy,2018,Haight at Masonic,Felix van Groeningen,Steve Carell
1577,Bitter Melon,2018,386 4th Ave,H.P. Mendoza,Jon Norman Schneider
1578,Venom,2018,Hyde St at Chestnut St,Ruben Fleischer,Tom Hardy
1579,A Taiwanese Tale of Two Cities,2018,Sutter St at Taylor St,Tien-Lun Yeh,Tammy Cheng
1580,A Taiwanese Tale of Two Cities,2018,Dolores Park,Tien-Lun Yeh,Tammy Cheng
1581,Venom,2018,Grant Ave btwn Pine and Jackson,Ruben Fleischer,Tom Hardy
1582,Ant-Man and the Wasp,2018,490 Geary St,Peyton Reed,Paul Rudd
1583,Bitter Melon,2018,298 11th St,H.P. Mendoza,Jon Norman Schneider
1584,Venom,2018,Potrero Hill: Rhode Island btwn 15th and 16th,Ruben Fleischer,Tom Hardy
1585,A Taiwanese Tale of Two Cities,2018,Waverly Place,Tien-Lun Yeh,Tammy Cheng
1586,Venom,2018,"North Beach: Kearny/Vallejo, Kearny/Broadway, Broadway/Columbus",Ruben Fleischer,Tom Hardy
1587,Ant-Man and the Wasp,2018,Java St,Peyton Reed,Paul Rudd
1588,Ant-Man and the Wasp,2018,California St btwn Mason and Leavenworth,Peyton Reed,Paul Rudd
1589,Ant-Man and the Wasp,2018,Telegraph Hill/North Beach,Peyton Reed,Paul Rudd
1590,Beautiful Boy,2018,Ohloff Recovery Center (601 Steiner St),Felix van Groeningen,Steve Carell
1591,Venom,2018,Taylor St Hill btwn Pacific and Greenwich,Ruben Fleischer,Tom Hardy
1592,Beautiful Boy,2018,"Olympic Flame Café, 555 Geary St",Felix van Groeningen,Steve Carell
1593,Ant-Man and the Wasp,2018,Lombard St btwn Polk and Leavenworth,Peyton Reed,Paul Rudd
1594,Bitter Melon,2018,33 Dearborn St,H.P. Mendoza,Jon Norman Schneider
1595,Venom,2018,Montgomery St and Vallejo St,Ruben Fleischer,Tom Hardy
1596,Venom,2018,Washington Square Park - Filbert St at Stockton St,Ruben Fleischer,Tom Hardy
1597,A Taiwanese Tale of Two Cities,2018,738 Washington St,Tien-Lun Yeh,Tammy Cheng
1598,Ant-Man and the Wasp,2018,Montgomery btwn Green and Pacific,Peyton Reed,Paul Rudd
1599,Venom,2018,Grant Ave at Green St,Ruben Fleischer,Tom Hardy
1600,A Taiwanese Tale of Two Cities,2018,Civic Center Plaza,Tien-Lun Yeh,Tammy Cheng
1601,Venom,2018,Grant Ave btwn Clay and Jackson,Ruben Fleischer,Tom Hardy
1602,Venom,2018,Kearny Steps/btwn Green and Pacific,Ruben Fleischer,Tom Hardy
1603,Venom,2018,"Epic Steakhouse, 369 Embarcadero",Ruben Fleischer,Tom Hardy
1604,Bitter Melon,2018,600 Niagara Ave,H.P. Mendoza,Jon Norman Schneider
1605,Ant-Man and the Wasp,2018,Jones St btwn Sacramento and Pine,Peyton Reed,Paul Rudd
1606,Ant-Man and the Wasp,2018,Little Embarcadero btwn Powell and Mason,Peyton Reed,Paul Rudd
1607,Beautiful Boy,2018,Wisconsin between 19th and 20th St,Felix van Groeningen,Steve Carell
1608,Ant-Man and the Wasp,2018,Financial District,Peyton Reed,Paul Rudd
1609,Venom,2018,Romolo St and Fresno Pl,Ruben Fleischer,Tom Hardy
